,,Model,Family,Line,Type,"Launch Date","GPU Dimensions","OS Support","Additional power connector","Compute Units","Base Frequency","Boost Frequency","Game Frequency","Ray Accelerators","Peak Frequency","Peak Pixel Fill-Rate","Peak Texture Fill-Rate","Max Performance","Peak Half Precision (FP16) Performance","Peak Single Precision (FP32) Performance","Peak Double Precision (FP64) Performance",ROPs,"Stream Processors","Texture Units","Transistor Count","GPU Power","Typical Board Power (Desktop)","Minimum PSU Recommendation","Infinity Cache","Memory Speed","Max Memory Size","Memory Type","Memory Interface","Memory Bandwidth","HDMI 4K Support","4K H264 Decode","4K H264 Encode","H265/HEVC Decode","H265/HEVC Encode","AV1 Decode",DisplayPort,"Dual Link DVI",HDMI,Length,"Slot Size",VGA,"AMD Eyefinity Max Display Support","USB Type-C","Supported Technologies"
,on,"AMD Radeon™ HD 6770","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 900 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6750","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 900 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6670","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 800 MHz",,,,,,,,,,,,,,,,,,,1GB,,,"Up to 64 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6570","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 650 MHz",,,,,,,,,,,480,,,,"40 W",,,,1GB,GDDR5,,"Up to 28.8 GB/s",,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, Unified Video Decoder (UVD), AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6450","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 750 MHz",,,,,,,,,,,160,,,,"30 W",,,,1GB,,,"8.5-12.8 GB/x (DDR3) or 25.6-28.8 GB/s (GDDR5)",,,,,,,Yes,Yes,Yes,,,Yes,4,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5970","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 725 MHz",,,,,,,,,,,,,,,"300 W",,,,2GB,,,,,,,,,,No,Yes,,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5870","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 850 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5850","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 725 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5830","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 800 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5770","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 850 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5750","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 700 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5670","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 775 MHz",,,,,,,,,,,400,,,,,,,,1GB,GDDR5,,"Up to 64 GB/s",,,,,,,Yes,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Radeon™ Dual Graphics, Unified Video Decoder (UVD), AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5570","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 650 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"ATI Radeon™ HD 5450","AMD Radeon™ HD","ATI Radeon™ HD 5000 Series",Component,,,,,,,"Up to 650 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
